username,in_reply_to_screen_name,full_text,Cleaned_Text,Tokenized_Text,Formalized_Text,Stopword_Removed_Text,Stemmed_Text,BERT_Label,VADER_Label
BPOMPontianak,BPOMPontianak,sekolah ritel IRTP pangan siap saji serta stunting dan pencegahannya. Pendalaman materi bersama ini memperkuat pemahaman dan praktik keamanan pangan untuk mencegah stunting di Desa Semerangkai. Kegiatan edukasi juga diperkaya melalui simulasi permainan paket https://t.co/zRRMjeoJoC,sekolah ritel irtp pangan siap saji serta stunting dan pencegahannya pendalaman materi bersama ini memperkuat pemahaman dan praktik keamanan pangan untuk mencegah stunting di desa semerangkai kegiatan edukasi juga diperkaya melalui simulasi permainan paket,"['sekolah', 'ritel', 'irtp', 'pangan', 'siap', 'saji', 'serta', 'stunting', 'dan', 'pencegahannya', 'pendalaman', 'materi', 'bersama', 'ini', 'memperkuat', 'pemahaman', 'dan', 'praktik', 'keamanan', 'pangan', 'untuk', 'mencegah', 'stunting', 'di', 'desa', 'semerangkai', 'kegiatan', 'edukasi', 'juga', 'diperkaya', 'melalui', 'simulasi', 'permainan', 'paket']","['sekolah', 'ritel', 'irtp', 'pangan', 'siap', 'saji', 'serta', 'stunting', 'dan', 'pencegahannya', 'pendalaman', 'materi', 'bersama', 'ini', 'memperkuat', 'pemahaman', 'dan', 'praktik', 'keamanan', 'pangan', 'untuk', 'mencegah', 'stunting', 'di', 'desa', 'semerangkai', 'kegiatan', 'edukasi', 'ya', 'diperkaya', 'melalui', 'simulasi', 'permainan', 'paket']",sekolah ritel irtp pangan saji stunting pencegahannya pendalaman materi memperkuat pemahaman praktik keamanan pangan mencegah stunting desa semerangkai kegiatan edukasi diperkaya simulasi permainan paket,"['sekolah', 'ritel', 'irtp', 'pangan', 'saji', 'stunting', 'cegah', 'dalam', 'materi', 'kuat', 'paham', 'praktik', 'aman', 'pangan', 'cegah', 'stunting', 'desa', 'rangka', 'giat', 'edukasi', 'kaya', 'simulasi', 'main', 'paket']",neutral,neutral
ATRspydoos,msaid_didu,@msaid_didu Gusti allah tidak tidur ya pasti lah. Mending makan nasi bungkus dulu biar ga stunting,msaid didu gusti allah tidak tidur ya pasti lah mending makan nasi bungkus dulu biar ga stunting,"['msaid', 'didu', 'gusti', 'allah', 'tidak', 'tidur', 'ya', 'pasti', 'lah', 'mending', 'makan', 'nasi', 'bungkus', 'dulu', 'biar', 'ga', 'stunting']","['msaid', 'didu', 'gusti', 'allah', 'tidak', 'tidur', 'iya', 'yakin', 'lah', 'lebih baik', 'makan', 'nasi', 'bungkus', 'dulu', 'biar', 'ga', 'stunting']",msaid didu gusti allah tidur nasi bungkus stunting,"['msaid', 'didu', 'gusti', 'allah', 'tidur', 'nasi', 'bungkus', 'stunting']",neutral,neutral
manemismem,polcanisme,@polcanisme kak tutor kalo skpmnya dighosting doswal dari smter 1 gmn ,polcanisme kak tutor kalo skpmnya dighosting doswal dari smter gmn,"['polcanisme', 'kak', 'tutor', 'kalo', 'skpmnya', 'dighosting', 'doswal', 'dari', 'smter', 'gmn']","['polcanisme', 'kak', 'tutor', 'kalau', 'skpmnya', 'dighosting', 'doswal', 'dari', 'smter', 'gmn']",polcanisme kak tutor skpmnya dighosting doswal smter,"['polcanisme', 'kak', 'tutor', 'skpmnya', 'dighosting', 'doswal', 'smter']",neutral,neutral
Pegulatmasa,ryankurniawan91,@ryankurniawan91 @hends08 @NOTASLIMBOY Lo kira yang pake kantor di IKN siapa kalo bukan ASN?dan kapan ada janji pelantikan presiden di IKN? Jangan imajinasi lo sendiri lo aku jadi target negara. Keganggu gimana? orang anggaran naik terus. Tapi lo jangan berkecil hati walaupun banyak salahnya trs kritik soal stunting,notaslimboy lo kira yang pake kantor di ikn siapa kalo bukan asn dan kapan ada janji pelantikan presiden di ikn jangan imajinasi lo sendiri lo aku jadi target negara keganggu gimana orang anggaran naik terus tapi lo jangan berkecil hati walaupun banyak salahnya trs kritik soal stunting,"['notaslimboy', 'lo', 'kira', 'yang', 'pake', 'kantor', 'di', 'ikn', 'siapa', 'kalo', 'bukan', 'asn', 'dan', 'kapan', 'ada', 'janji', 'pelantikan', 'presiden', 'di', 'ikn', 'jangan', 'imajinasi', 'lo', 'sendiri', 'lo', 'aku', 'jadi', 'target', 'negara', 'keganggu', 'gimana', 'orang', 'anggaran', 'naik', 'terus', 'tapi', 'lo', 'jangan', 'berkecil', 'hati', 'walaupun', 'banyak', 'salahnya', 'trs', 'kritik', 'soal', 'stunting']","['notaslimboy', 'kamu', 'kira', 'yang', 'pakai', 'kantor', 'di', 'ikn', 'siapa', 'kalau', 'bukan', 'asn', 'dan', 'kapan', 'ada', 'janji', 'pelantikan', 'presiden', 'di', 'ikn', 'jangan', 'imajinasi', 'kamu', 'sendiri', 'kamu', 'aku', 'jadi', 'target', 'negara', 'keganggu', 'bagaimana', 'orang', 'anggaran', 'naik', 'terus', 'tetapi', 'kamu', 'jangan', 'berkecil', 'hati', 'walaupun', 'banyak', 'salahnya', 'terus', 'kritik', 'soal', 'stunting']",notaslimboy pakai kantor ikn asn janji pelantikan presiden ikn imajinasi target negara keganggu orang anggaran berkecil salahnya kritik stunting,"['notaslimboy', 'pakai', 'kantor', 'ikn', 'asn', 'janji', 'lantik', 'presiden', 'ikn', 'imajinasi', 'target', 'negara', 'ganggu', 'orang', 'anggar', 'kecil', 'salah', 'kritik', 'stunting']",neutral,neutral
BapakCoppola,unmagnetism,@unmagnetism Stunting majority dimohon menyanyikan lagu genjer²,unmagnetism stunting majority dimohon menyanyikan lagu,"['unmagnetism', 'stunting', 'majority', 'dimohon', 'menyanyikan', 'lagu']","['unmagnetism', 'stunting', 'majority', 'dimohon', 'menyanyikan', 'lagu']",unmagnetism stunting majority dimohon menyanyikan lagu,"['unmagnetism', 'stunting', 'majority', 'mohon', 'nyanyi', 'lagu']",neutral,neutral
pemprov_gtlo,pemprov_gtlo,Di Pohuwato sendiri di tahun 2024 angka stunting naik 12 persen menjadi 18 4 persen. Oleh sebab itu dibutuhkan data yang akurat diambil dari data Regsosek atau data by name by addres yang disurvei langsung melalui aplikasi Enumerator sehingga jelas kondisi masyarakat.,di pohuwato sendiri di tahun angka stunting naik persen menjadi persen oleh sebab itu dibutuhkan data yang akurat diambil dari data regsosek atau data by name by addres yang disurvei langsung melalui aplikasi enumerator sehingga jelas kondisi masyarakat,"['di', 'pohuwato', 'sendiri', 'di', 'tahun', 'angka', 'stunting', 'naik', 'persen', 'menjadi', 'persen', 'oleh', 'sebab', 'itu', 'dibutuhkan', 'data', 'yang', 'akurat', 'diambil', 'dari', 'data', 'regsosek', 'atau', 'data', 'by', 'name', 'by', 'addres', 'yang', 'disurvei', 'langsung', 'melalui', 'aplikasi', 'enumerator', 'sehingga', 'jelas', 'kondisi', 'masyarakat']","['di', 'pohuwato', 'sendiri', 'di', 'tahun', 'angka', 'stunting', 'naik', 'persen', 'menjadi', 'persen', 'oleh', 'sebab', 'itu', 'dibutuhkan', 'data', 'yang', 'akurat', 'diambil', 'dari', 'data', 'regsosek', 'atau', 'data', 'by', 'name', 'by', 'addres', 'yang', 'disurvei', 'langsung', 'melalui', 'aplikasi', 'enumerator', 'sehingga', 'jelas', 'kondisi', 'masyarakat']",pohuwato angka stunting persen persen dibutuhkan data akurat diambil data regsosek data by name by addres disurvei aplikasi enumerator kondisi masyarakat,"['pohuwato', 'angka', 'stunting', 'persen', 'persen', 'butuh', 'data', 'akurat', 'ambil', 'data', 'regsosek', 'data', 'by', 'name', 'by', 'addres', 'survei', 'aplikasi', 'enumerator', 'kondisi', 'masyarakat']",neutral,neutral
pemprov_gtlo,pemprov_gtlo,Presiden Jokowi telah menargetkan masalah kemiskinan ekstrem nasional di tahun 2024 tuntas menjadi 0 persen dan masalah stunting harus turun menjadi 14 persen. Sementara penduduk miskin yang ada di Gorontalo hingga saat ini masih ada sekitar 2 03 persen atau 3 38 ribu jiwa.,presiden jokowi telah menargetkan masalah kemiskinan ekstrem nasional di tahun tuntas menjadi persen dan masalah stunting harus turun menjadi persen sementara penduduk miskin yang ada di gorontalo hingga saat ini masih ada sekitar persen atau ribu jiwa,"['presiden', 'jokowi', 'telah', 'menargetkan', 'masalah', 'kemiskinan', 'ekstrem', 'nasional', 'di', 'tahun', 'tuntas', 'menjadi', 'persen', 'dan', 'masalah', 'stunting', 'harus', 'turun', 'menjadi', 'persen', 'sementara', 'penduduk', 'miskin', 'yang', 'ada', 'di', 'gorontalo', 'hingga', 'saat', 'ini', 'masih', 'ada', 'sekitar', 'persen', 'atau', 'ribu', 'jiwa']","['presiden', 'jokowi', 'telah', 'menargetkan', 'masalah', 'kemiskinan', 'ekstrem', 'nasional', 'di', 'tahun', 'tuntas', 'menjadi', 'persen', 'dan', 'masalah', 'stunting', 'harus', 'turun', 'menjadi', 'persen', 'sementara', 'penduduk', 'miskin', 'yang', 'ada', 'di', 'gorontalo', 'hingga', 'saat', 'ini', 'masih', 'ada', 'sekitar', 'persen', 'atau', 'ribu', 'jiwa']",presiden jokowi menargetkan kemiskinan ekstrem nasional tuntas persen stunting turun persen penduduk miskin gorontalo persen ribu jiwa,"['presiden', 'jokowi', 'target', 'miskin', 'ekstrem', 'nasional', 'tuntas', 'persen', 'stunting', 'turun', 'persen', 'duduk', 'miskin', 'gorontalo', 'persen', 'ribu', 'jiwa']",negative,neutral
Sedang_di_isi,DS_yantie,@DS_yantie Sekali dayung 2 pulau terlampaui. Makan siang gratis dan program mengurangi angka stunting.,ds yantie sekali dayung pulau terlampaui makan siang gratis dan program mengurangi angka stunting,"['ds', 'yantie', 'sekali', 'dayung', 'pulau', 'terlampaui', 'makan', 'siang', 'gratis', 'dan', 'program', 'mengurangi', 'angka', 'stunting']","['ds', 'yantie', 'sekali', 'dayung', 'pulau', 'terlampaui', 'makan', 'siang', 'gratis', 'dan', 'program', 'mengurangi', 'angka', 'stunting']",ds yantie dayung pulau terlampaui siang gratis program mengurangi angka stunting,"['ds', 'yantie', 'dayung', 'pulau', 'lampau', 'siang', 'gratis', 'program', 'kurang', 'angka', 'stunting']",neutral,positive
BapakCoppola,kafiradikalis,@kafiradikalis Tapi stunting majority pada mangap minta disuapin beras gratis firaunnya dimana bung?,kafiradikalis tapi stunting majority pada mangap minta disuapin beras gratis firaunnya dimana bung,"['kafiradikalis', 'tapi', 'stunting', 'majority', 'pada', 'mangap', 'minta', 'disuapin', 'beras', 'gratis', 'firaunnya', 'dimana', 'bung']","['kafiradikalis', 'tetapi', 'stunting', 'majority', 'pada', 'mangap', 'minta', 'disuapin', 'beras', 'gratis', 'firaunnya', 'dimana', 'bung']",kafiradikalis stunting majority mangap disuapin beras gratis firaunnya dimana,"['kafiradikalis', 'stunting', 'majority', 'mangap', 'disuapin', 'beras', 'gratis', 'firaunnya', 'mana']",negative,positive
belindch,oxfara,@oxfara Mereka stunting apaan aja masih ga paham. Dikira kayak flu yabg hari ini diobatin besok sembuh. Wkwkwk,oxfara mereka stunting apaan aja masih ga paham dikira kayak flu yabg hari ini diobatin besok sembuh wkwkwk,"['oxfara', 'mereka', 'stunting', 'apaan', 'aja', 'masih', 'ga', 'paham', 'dikira', 'kayak', 'flu', 'yabg', 'hari', 'ini', 'diobatin', 'besok', 'sembuh', 'wkwkwk']","['oxfara', 'mereka', 'stunting', 'apa', 'saja', 'masih', 'ga', 'paham', 'dikira', 'kayak', 'pilek', 'yabg', 'hari', 'ini', 'diobatin', 'besok', 'sembuh', 'wkwkwk']",oxfara stunting paham kayak pilek yabg diobatin besok sembuh wkwkwk,"['oxfara', 'stunting', 'paham', 'kayak', 'pilek', 'yabg', 'diobatin', 'besok', 'sembuh', 'wkwkwk']",negative,neutral
fittafitri1,lps_idic,@lps_idic Salah satu Kegiatan LPS yang wajib selalu di Suport banget. Karna kegiatan Seperti ini Sangat sangat di butuhkan buat masyarakat indonesia agat tingkat Penurunan stunting makin menurun. Sukses selalu buat LPS atas peogarmnya Yg bekerja sama dengan yayasan Care Indonesia,lps idic salah satu kegiatan lps yang wajib selalu di suport banget karna kegiatan seperti ini sangat sangat di butuhkan buat masyarakat indonesia agat tingkat penurunan stunting makin menurun sukses selalu buat lps atas peogarmnya yg bekerja sama dengan yayasan care indonesia,"['lps', 'idic', 'salah', 'satu', 'kegiatan', 'lps', 'yang', 'wajib', 'selalu', 'di', 'suport', 'banget', 'karna', 'kegiatan', 'seperti', 'ini', 'sangat', 'sangat', 'di', 'butuhkan', 'buat', 'masyarakat', 'indonesia', 'agat', 'tingkat', 'penurunan', 'stunting', 'makin', 'menurun', 'sukses', 'selalu', 'buat', 'lps', 'atas', 'peogarmnya', 'yg', 'bekerja', 'sama', 'dengan', 'yayasan', 'care', 'indonesia']","['lps', 'idic', 'salah', 'satu', 'kegiatan', 'lps', 'yang', 'wajib', 'selalu', 'di', 'suport', 'sangat', 'karena', 'kegiatan', 'seperti', 'ini', 'sangat', 'sangat', 'di', 'butuhkan', 'buat', 'masyarakat', 'indonesia', 'agat', 'tingkat', 'penurunan', 'stunting', 'makin', 'menurun', 'sukses', 'selalu', 'buat', 'lps', 'atas', 'peogarmnya', 'yang', 'bekerja', 'sama', 'dengan', 'yayasan', 'care', 'indonesia']",lps idic salah kegiatan lps wajib suport kegiatan butuhkan masyarakat indonesia agat tingkat penurunan stunting menurun sukses lps peogarmnya yayasan care indonesia,"['lps', 'idic', 'salah', 'giat', 'lps', 'wajib', 'suport', 'giat', 'butuh', 'masyarakat', 'indonesia', 'agat', 'tingkat', 'turun', 'stunting', 'turun', 'sukses', 'lps', 'peogarmnya', 'yayasan', 'care', 'indonesia']",positive,positive
Hypofisia_Glnd,momzchulo_,@momzchulo_ Sebenernya barongsai tu naga stunting atau macan yang obess + stunted,momzchulo sebenernya barongsai tu naga stunting atau macan yang obess stunted,"['momzchulo', 'sebenernya', 'barongsai', 'tu', 'naga', 'stunting', 'atau', 'macan', 'yang', 'obess', 'stunted']","['momzchulo', 'sebenernya', 'barongsai', 'tu', 'naga', 'stunting', 'atau', 'macan', 'yang', 'obess', 'stunted']",momzchulo sebenernya barongsai tu naga stunting macan obess stunted,"['momzchulo', 'sebenernya', 'barongsai', 'tu', 'naga', 'stunting', 'macan', 'obess', 'stunted']",negative,neutral
AbdRohmanHdy,lps_idic,@lps_idic Terima kasih atas perhatian LPS melalui LPS Peduli Bakti Bagi Negeri dan Yayasan CARE Indonesia terhadap kesehatan anak-anak dan ibu hamil. Semoga masalah stunting di Indonesia bisa diatasi dengan baik dan masyarakat bisa hidup lebih sehat.,lps idic terima kasih atas perhatian lps melalui lps peduli bakti bagi negeri dan yayasan care indonesia terhadap kesehatan anak anak dan ibu hamil semoga masalah stunting di indonesia bisa diatasi dengan baik dan masyarakat bisa hidup lebih sehat,"['lps', 'idic', 'terima', 'kasih', 'atas', 'perhatian', 'lps', 'melalui', 'lps', 'peduli', 'bakti', 'bagi', 'negeri', 'dan', 'yayasan', 'care', 'indonesia', 'terhadap', 'kesehatan', 'anak', 'anak', 'dan', 'ibu', 'hamil', 'semoga', 'masalah', 'stunting', 'di', 'indonesia', 'bisa', 'diatasi', 'dengan', 'baik', 'dan', 'masyarakat', 'bisa', 'hidup', 'lebih', 'sehat']","['lps', 'idic', 'terima', 'kasih', 'atas', 'perhatian', 'lps', 'melalui', 'lps', 'peduli', 'bakti', 'bagi', 'negeri', 'dan', 'yayasan', 'care', 'indonesia', 'terhadap', 'kesehatan', 'anak', 'anak', 'dan', 'ibu', 'hamil', 'semoga', 'masalah', 'stunting', 'di', 'indonesia', 'bisa', 'diatasi', 'dengan', 'baik', 'dan', 'masyarakat', 'bisa', 'hidup', 'lebih', 'sehat']",lps idic terima kasih perhatian lps lps peduli bakti negeri yayasan care indonesia kesehatan anak anak hamil semoga stunting indonesia diatasi masyarakat sehat,"['lps', 'idic', 'terima', 'kasih', 'perhati', 'lps', 'lps', 'peduli', 'bakti', 'negeri', 'yayasan', 'care', 'indonesia', 'sehat', 'anak', 'anak', 'hamil', 'moga', 'stunting', 'indonesia', 'atas', 'masyarakat', 'sehat']",positive,positive
SocialistSpirit,gektimbul,@gektimbul Waah kya stunting hai,gektimbul waah kya stunting hai,"['gektimbul', 'waah', 'kya', 'stunting', 'hai']","['gektimbul', 'waah', 'kya', 'stunting', 'hai']",gektimbul waah stunting hai,"['gektimbul', 'waah', 'stunting', 'hai']",negative,neutral
mysunflower_s,DS_yantie,@DS_yantie Ini mah bukan cuma nurunin angka stunting di Indonesia tapi juga nurunin angka penduduk Indonesia,ds yantie ini mah bukan cuma nurunin angka stunting di indonesia tapi juga nurunin angka penduduk indonesia,"['ds', 'yantie', 'ini', 'mah', 'bukan', 'cuma', 'nurunin', 'angka', 'stunting', 'di', 'indonesia', 'tapi', 'juga', 'nurunin', 'angka', 'penduduk', 'indonesia']","['ds', 'yantie', 'ini', 'mah', 'bukan', 'cuma', 'nurunin', 'angka', 'stunting', 'di', 'indonesia', 'tetapi', 'ya', 'nurunin', 'angka', 'penduduk', 'indonesia']",ds yantie mah nurunin angka stunting indonesia nurunin angka penduduk indonesia,"['ds', 'yantie', 'mah', 'nurunin', 'angka', 'stunting', 'indonesia', 'nurunin', 'angka', 'duduk', 'indonesia']",neutral,neutral
pawpuku,pawpuku,Ikut serta membrantas stunting.,ikut serta membrantas stunting,"['ikut', 'serta', 'membrantas', 'stunting']","['ikut', 'serta', 'membrantas', 'stunting']",membrantas stunting,"['membrantas', 'stunting']",negative,neutral
SOOM4D,puspaswarna,@puspaswarna @ZUL_Hasan Bocah pada stunting etika ,puspaswarna zul hasan bocah pada stunting etika,"['puspaswarna', 'zul', 'hasan', 'bocah', 'pada', 'stunting', 'etika']","['puspaswarna', 'zul', 'hasan', 'bocah', 'pada', 'stunting', 'etika']",puspaswarna zul hasan bocah stunting etika,"['puspaswarna', 'zul', 'hasan', 'bocah', 'stunting', 'etika']",neutral,neutral
